,Country ID,Religion,Reason For Leaving,Child Language,Reason Not Attending Regularly,HealthStaIssueFollowupStatus,VaccinationIssueFollowupStatus,total_Visit,Father Employment,Child Lives With,EducationIssue Followup Status,Sisters,Gender,Mother Employment,Attend Edu Voc Learn Regularly,Brothers,age,Favorite Subject,Project ID,NutritionIssue Followup Status,years_sponsorchip,nutritional_status_MUAC,v_Bacillus_BCG,v_Tetanus_DPT3,Attend Edu Voc Learn Regularly
273,6.0,12.0,0.0,21972.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,3.0,2.0,4.0,6.0,10.0,191492.0,0.0,0.0,0.0,1.0,1.0,2.0
274,7.0,0.0,0.0,11028.0,0.0,0.0,0.0,17.0,3.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,9.0,2.0,189401.0,0.0,0.0,0.0,0.0,0.0,2.0
279,2.0,0.0,0.0,13229.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,1.0,1.0,3.0,2.0,1.0,7.0,2.0,203054.0,0.0,2.0,0.0,0.0,0.0,2.0
280,6.0,12.0,0.0,15523.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,10.0,38.0,185162.0,0.0,2.0,0.0,0.0,0.0,2.0
284,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,8.0,9.0,184150.0,0.0,2.0,0.0,0.0,0.0,2.0
288,2.0,0.0,0.0,13229.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,2.0,1.0,3.0,2.0,0.0,6.0,2.0,203054.0,0.0,2.0,0.0,0.0,0.0,2.0
289,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,10.0,9.0,184150.0,0.0,3.0,0.0,0.0,0.0,2.0
290,6.0,12.0,0.0,21972.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,2.0,1.0,3.0,2.0,3.0,8.0,10.0,191492.0,0.0,2.0,0.0,0.0,0.0,2.0
292,6.0,12.0,0.0,15523.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,9.0,21.0,185162.0,0.0,0.0,0.0,0.0,0.0,2.0
293,2.0,0.0,0.0,13229.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,3.0,1.0,3.0,2.0,3.0,8.0,9.0,203054.0,0.0,2.0,0.0,0.0,0.0,2.0
298,6.0,12.0,0.0,15523.0,0.0,0.0,0.0,12.0,1.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,11.0,7.0,185162.0,0.0,2.0,0.0,0.0,0.0,2.0
300,6.0,12.0,0.0,21972.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,3.0,87.0,191492.0,0.0,0.0,0.0,1.0,0.0,0.0
301,6.0,12.0,0.0,17070.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,87.0,191492.0,0.0,0.0,0.0,1.0,1.0,0.0
305,7.0,0.0,0.0,11028.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,3.0,1.0,3.0,2.0,1.0,9.0,2.0,189401.0,0.0,0.0,0.0,0.0,0.0,2.0
306,6.0,12.0,0.0,15523.0,0.0,0.0,0.0,12.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,9.0,7.0,185162.0,0.0,3.0,0.0,0.0,0.0,2.0
308,6.0,12.0,0.0,21972.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,87.0,191492.0,0.0,0.0,0.0,1.0,1.0,0.0
309,2.0,0.0,0.0,13229.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,5.0,1.0,3.0,2.0,2.0,6.0,54.0,203054.0,0.0,2.0,0.0,0.0,0.0,2.0
310,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,3.0,0.0,2.0,2.0,2.0,4.0,9.0,184150.0,0.0,0.0,0.0,1.0,0.0,2.0
312,2.0,0.0,0.0,13229.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,2.0,1.0,3.0,2.0,2.0,9.0,1.0,203054.0,0.0,0.0,0.0,0.0,0.0,2.0
315,2.0,0.0,0.0,13229.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,2.0,1.0,3.0,2.0,3.0,8.0,54.0,203054.0,0.0,0.0,0.0,0.0,0.0,2.0
319,3.0,19.0,0.0,15715.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,1.0,9.0,7.0,190473.0,0.0,2.0,0.0,0.0,0.0,2.0
320,6.0,12.0,0.0,15523.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,1.0,1.0,3.0,2.0,0.0,13.0,7.0,185162.0,0.0,0.0,0.0,0.0,0.0,2.0
322,1.0,0.0,0.0,12695.0,0.0,0.0,4.0,9.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,6.0,38.0,184150.0,4.0,3.0,0.0,1.0,0.0,2.0
323,2.0,0.0,0.0,13229.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,7.0,9.0,203054.0,0.0,2.0,0.0,0.0,0.0,2.0
328,6.0,12.0,0.0,15523.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,13.0,7.0,185162.0,0.0,0.0,0.0,0.0,0.0,2.0
331,6.0,12.0,0.0,21972.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,5.0,10.0,191492.0,0.0,0.0,0.0,1.0,1.0,2.0
334,6.0,11.0,0.0,21972.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,3.0,1.0,3.0,2.0,2.0,6.0,1.0,191492.0,0.0,0.0,0.0,1.0,1.0,2.0
342,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,9.0,184150.0,0.0,0.0,0.0,1.0,0.0,2.0
343,6.0,12.0,0.0,21972.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,6.0,10.0,191492.0,0.0,0.0,0.0,0.0,0.0,2.0
351,2.0,0.0,0.0,13229.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,2.0,0.0,3.0,2.0,2.0,8.0,54.0,203054.0,0.0,2.0,0.0,0.0,0.0,2.0
354,6.0,12.0,0.0,21972.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,2.0,1.0,3.0,2.0,1.0,6.0,10.0,191492.0,0.0,2.0,0.0,1.0,1.0,2.0
356,2.0,0.0,0.0,13229.0,0.0,0.0,0.0,10.0,3.0,1.0,0.0,3.0,1.0,3.0,2.0,3.0,9.0,54.0,184569.0,0.0,0.0,0.0,0.0,0.0,2.0
